"省份","吉威Excel","吉威Excrossal","微创火鸟","微创火鸟II","微创火鹰","乐普Partner","乐普Gureater","乐普Nano Plus","乐普NEOVas","赛诺BuMA","易生Tivoli","金瑞凯利HELIOS","万瑞飞鸿NOYA","大连垠艺垠艺","瑞安泰心脉","美中双和AVI","信立泰Alpha","美敦力Resolute","美敦力Endeaver","美敦力Integrity","雅培 XIENCE V","雅培  XIENCE Prime","雅培 XIENCE Xpedition","雅培 XIENCE Xpedition  48","雅培  Xience Sierra","波科  Taxus Liberte","波科  PE","波科  PE Plus","波科  Synergy","百多力Orsiro"
"安徽",8456.5610174624,15810,NA,8100,15300,8389,8810,0,NA,8420,8588,8869,NA,NA,NA,0,NA,16040,NA,NA,15500,NA,NA,NA,NA,NA,11950,NA,NA,NA
"北京",7600,11715.9029649596,NA,7537.35403214727,13600,NA,8018.05687203792,10819.4342395298,34800,7600,7600,7842.06437291898,NA,7600,7600,9500,10197.0802919708,NA,0,17292.0098374095,12100,11427.5744680851,17010.2899814367,NA,NA,14000,14000,16701.8578448999,6163.77942165434,NA
"福建",7190,NA,NA,7500,13280,7600,NA,10900,NA,7600,7600,8350,NA,NA,7605,10260,NA,14848.8,NA,NA,NA,13280,NA,NA,NA,NA,NA,11400,NA,NA
"甘肃",7873.94577725766,14600,NA,7799,14000,7550,NA,11500,NA,7760,NA,8350,NA,NA,NA,NA,NA,14849,NA,NA,NA,NA,13800,NA,NA,NA,16203,NA,NA,NA
"广东",9272.42657487986,14034.5228215768,NA,8635.0877448669,14172.8871681416,NA,8616.47860514695,11410.8108108108,NA,7007.74576271186,8429.32856290996,8641.80573951435,NA,8743.1,NA,12800,12259.4594594595,14778.3706570657,NA,17168.3952095808,NA,15686.8697859993,16947.3067974073,18928.5714285714,NA,NA,16568.3750530335,10995.0240770465,19253.3566841798,NA
"广西",7399.78593494458,13460,NA,6772.83320084791,NA,6685.04166666667,NA,9263.71282051282,NA,6393.56534090909,6431.20588235294,NA,NA,NA,7732.75,NA,NA,NA,13062.4242424242,NA,NA,11518.5945945946,NA,NA,NA,NA,NA,12689,NA,NA
"贵州",7842.63162055336,15500,NA,7799,13600,8040,8640,11500,34800,7746,7961,8350,NA,7800,NA,NA,NA,NA,14848,NA,12100,12100,13800,13800,NA,14260,NA,12100,NA,NA
"海南",8068.4,NA,NA,7799,14000,NA,8640,11500,NA,7746.4,7600,8350,NA,NA,NA,NA,11800,14848,NA,NA,NA,NA,17100,NA,NA,NA,14260,NA,NA,NA
"河北",7600,13600,NA,7600,13877.2785622593,NA,7600,11000,0,7800,7600,NA,NA,NA,NA,NA,NA,14848,NA,NA,NA,13800,NA,NA,NA,NA,15500,NA,NA,NA
"河南",7630.82534389329,13728.8177339901,NA,7539.20231610224,13815.2284263959,7600,8547.63121040347,NA,35125,7600,7600,7600,NA,NA,7600,12600,12600,13773.2163973197,NA,19250,NA,13950,17100,NA,NA,NA,14260,13251.1030478955,NA,NA
"黑龙江",7190,13600,NA,7257.99946222103,13300,8460,8460,10900,29250,7193.34126040428,5838.41059602649,6730.26755852843,NA,7577,7450,11800,11800,15473.7572254335,15940,19250,12100,13800,17000,NA,NA,NA,14260,11500,19700,NA
"湖北",7609.8622884529,13558.9164785553,NA,7667.13347991981,14500,7753.44878408253,8700,11600,NA,7624.14643931795,NA,9356.14035087719,NA,0,NA,7725,NA,14722.9081473793,NA,NA,15760,13800,14195.0617283951,NA,NA,NA,13916.5873959572,NA,NA,NA
"湖南",7314.31430907604,14660,NA,7799,14000,8040,8640,11500,34800,7746,7600,8350,0,0,NA,0,0,14848,NA,19250,12100,13800,NA,NA,NA,NA,NA,10334.9225268176,21980,NA
"吉林",7216.26343540864,13600,NA,7500,13300,NA,8118.19828431373,10900,NA,7600,7600,8350,NA,7577,7450,NA,11800,15180.8923418424,NA,19250,NA,13800,17100,17255.1724137931,NA,NA,14260,9457.08367854184,18300,NA
"江西",7725.51680672269,15500,NA,7797.5474929161,13888.253968254,8040.4,8587.35687650801,2742.45283018868,34800,1187.45896257387,7691,8350,7800,7577,7678,9900,11800,14848,NA,19250,11912.6451612903,13800,NA,NA,NA,NA,NA,11477.6119402985,22745,NA
